Package_name,Country,Price,No. of Days,No. of People,Description,Start Date,End Date
Everest Summit Expedition,Nepal,500000,21,1,A challenging expedition to conquer Mount Everest's summit.,9/1/2023,9/21/2023
Luxury Nepal Getaway,Nepal,275000,10,2,An opulent getaway exploring the best of Nepal.,10/15/2023,10/24/2023
Annapurna Helicopter Tour,Nepal,375000,7,2,A lavish helicopter tour over the majestic Annapurna range.,11/5/2023,11/11/2023
Kathmandu Heritage Retreat,Nepal,150000,5,1,An exclusive retreat to immerse in Kathmandu's heritage.,12/10/2023,12/14/2023
Himalayan Yoga Escape,Nepal,275000,14,2,A rejuvenating yoga escape amidst the Himalayan tranquility.,1/15/2023,1/28/2023
Bhutan Luxury Expedition,Bhutan,425000,12,4,A luxurious expedition to explore Bhutan's hidden treasures.,2/20/2023,3/3/2023
Taj Mahal & Jaipur Tour,India,325000,9,2,Explore the Taj Mahal and the vibrant city of Jaipur in style.,3/15/2023,3/23/2023
Gosaikunda Trek,Nepal,85000,9,2,Explore the sacred alpine lake of Gosaikunda in the Langtang region.,10/10/2023,10/18/2023
Chitwan Jungle Safari,Nepal,65000,4,2,Embark on a thrilling jungle safari in Chitwan National Park.,11/20/2023,11/23/2023
Paragliding in Pokhara,Nepal,45000,2,1,Soar through the skies of Pokhara in an exhilarating paragliding adventure.,12/5/2023,12/6/2023
Lumbini Buddhist Tour,Nepal,60000,6,2,Visit the birthplace of Buddha and explore Lumbini's rich heritage.,1/10/2023,1/15/2023
Upper Mustang Trek,Nepal,95000,12,2,Trek through the mystical landscapes of Upper Mustang.,2/15/2023,2/26/2023
Maldives Overwater Bungalow,Maldives,800000,7,2,Experience luxury in an overwater bungalow in the Maldives.,3/20/2023,3/26/2023
Cultural Delights of Kyoto,Japan,375000,8,2,"Immerse in the cultural wonders of Kyoto, Japan.",4/15/2023,4/22/2023
Santorini Island Getaway,Greece,550000,7,2,Enjoy a romantic getaway on the beautiful island of Santorini.,5/10/2024,5/16/2024
Serengeti Safari Adventure,Tanzania,700000,10,4,Witness the Great Migration on a thrilling Serengeti safari.,6/15/2024,6/24/2024
Amazon Rainforest Expedition,Brazil,600000,8,2,Explore the wonders of the Amazon rainforest in Brazil.,7/10/2024,7/17/2024
Swiss Alps Ski Retreat,Switzerland,475000,7,2,Enjoy a luxurious ski retreat in the picturesque Swiss Alps.,8/5/2024,8/11/2024
Kyoto Cherry Blossom Tour,Japan,375000,9,2,"Witness the beauty of cherry blossoms in Kyoto, Japan.",9/10/2024,9/18/2024
